"","V1","V2"
"393","Oberflächlichkeit","-0.3299"
"394","Offensive","-0.0048"
"395","Opposition","-0.3631"
"396","Panik","-0.3429"
"397","Panne","-0.1901"
"398","Pech","-0.4823"
"399","Pessimismus","-0.4715"
"400","Pest","-0.3456"
"401","Pflicht","-0.3577"
"402","Pleite","-0.3323"
"403","Preissturz","-0.0048"
"404","Problem","-0.3865"
"405","Propaganda","-0.4893"
"406","Protest","-0.3564"
"407","Provisorium","-0.0048"
"408","Provokation","-0.0048"
"409","Qual","-0.0402"
"410","Qualitätsminderung","-0.3096"
"411","Rache","-0.3534"
"412","Ratlosigkeit","-0.0048"
"413","Raub","-0.0048"
"414","Rebellen","-0.0048"
"415","Rebellion","-0.0048"
"416","Rechtswidrigkeit","-0.0499"
"417","Redundanz","-0.0048"
"418","Reinfall","-0.0048"
"419","Reklamation","-0.0048"
"420","Reparatur","-0.0048"
"421","Revolte","-0.0048"
"422","Revolution","-0.0048"
"423","Rezession","-0.3454"
"424","Risiko","-0.687"
"425","Rivale","-0.0502"
"426","Rivalität","-0.0048"
"427","Rost","-0.0048"
"428","Ruin","-0.0048"
"429","Rutsch","-0.0048"
"430","Rätselraten","-0.0048"
"431","Räuber","-0.3508"
"432","Rückfall","-0.0048"
"433","Rückgang","-0.2096"
"434","Rückschritt","-0.0048"
"435","Rücksendung","-0.3465"
"436","Rücksichtslosigkeit","-0.0048"
"437","Rückstand","-0.063"
"438","Rückständigkeit","-0.0048"
"439","Rücktritt","-0.0048"
"440","Rückzug","-0.3501"
"441","Sabotage","-0.0048"
"442","Sackgasse","-0.3455"
"443","Schaden","-0.5299"
"444","Schadensbild","-0.0048"
"445","Scham","-0.4829"
"446","Schande","-0.0048"
"447","Scheidung","-0.2023"
"448","Scheitern","-0.3524"
"449","Schelte","-0.0048"
"450","Scheußlichkeit","-0.0048"
"451","Schlachtfeld","-0.0048"
"452","Schlag","-0.0048"
"453","Schlamperei","-0.0048"
"454","Schlechtigkeit","-0.4646"
"455","Schlitterbahn","-0.0048"
"456","Schlägerei","-0.0048"
"457","Schmerz","-0.0048"
"458","Schmuggel","-0.0048"
"459","Schmutz","-0.0542"
"460","Schock","-0.0048"
"461","Schramme","-0.0048"
"462","Schreck","-0.194"
"463","Schrott","-0.0534"
"464","Schräglauf","-0.0048"
"465","Schubs","-0.0048"
"466","Schuld","-0.9686"
"467","Schuldner","-0.0048"
"468","Schuldnerin","-0.0048"
"469","Schurke","-0.3306"
"470","Schwierigkeit","-0.0483"
"471","Schwund","-0.0048"
"472","Schwäche","-0.5035"
"473","Schwächung","-0.337"
"474","Schäden","-0.3731"
"475","Schädigung","-0.0048"
"476","Senkung","-0.0545"
"477","Sinnlosigkeit","-0.0048"
"478","Sintflut","-0.3313"
"479","Skandal","-0.0048"
"480","Sklave","-0.3281"
"481","Sklavenarbeit","-0.0048"
"482","Sorge","-0.3618"
"483","Spott","-0.3357"
"484","Sprengstoff","-0.0048"
"485","Sprengung","-0.0048"
"486","Stagnation","-0.0048"
"487","Stau","-0.0438"
"488","Sterben","-0.0539"
"489","Steuerhinterziehung","-0.0048"
"490","Stilllegung","-0.0048"
"491","Stillstand","-0.0048"
"492","Stornierung","-0.0048"
"493","Stoß","-0.0048"
"494","Strafverfahren","-0.0048"
"495","Strapaze","-0.0048"
"496","Streik","-0.0048"
"497","Streit","-0.6632"
"498","Strenge","-0.0048"
"499","Stress","-0.0048"
"500","Streß","-0.0048"
"501","Sturheit","-0.1894"
"502","Sturz","-0.6316"
"503","Störung","-0.3569"
"504","Sucht","-0.3505"
"505","Sündenbock","-0.3285"
"506","Tabu","-0.0048"
"507","Terror","-0.0048"
"508","Terrorismus","-0.3553"
"509","Teuerung","-0.322"
"510","Teuerungsrate","-0.0048"
"511","Teufelskreis","-0.479"
"512","Tod","-0.0697"
"513","Todesfall","-0.0048"
"514","Todesstrafe","-0.0048"
"515","Torheit","-0.0048"
"516","Totschlag","-0.0048"
"517","Tragödie","-0.0048"
"518","Trauer","-0.0048"
"519","Trauma","-0.0048"
"520","Traurigkeit","-0.0457"
"521","Trennung","-0.5071"
"522","Tristesse","-0.0555"
"523","Trostlosigkeit","-0.0048"
"524","Trott","-0.0048"
"525","Trugschluß","-0.0048"
"526","Trägheit","-0.1937"
"527","Träne","-0.0562"
"528","Trübsal","-0.189"
"529","Turbolenz","-0.0048"
"530","Turbolenzen","-0.0048"
"531","Tyrannei","-0.3243"
"532","Täuschung","-0.3445"
"533","Umtausch","-0.343"
"534","Unbehagen","-0.3291"
"535","Unbehaglichkeit","-0.0048"
"536","Unbeliebtheit","-0.0048"
"537","Unbequemlichkeit","-0.0048"
"538","Unbestimmtheit","-0.0537"
"539","Undankbarkeit","-0.0048"
"540","Unehrlichkeit","-0.0048"
"541","Uneinigkeit","-0.3289"
"542","Unerbittlichkeit","-0.0048"
"543","Unerträglichkeit","-0.0048"
"544","Unfall","-0.0048"
"545","Unfreundlichkeit","-0.3085"
"546","Unfug","-0.3394"
"547","Unfähigkeit","-0.1896"
"548","Ungeduld","-0.4655"
"549","Ungehorsamkeit","-0.0048"
"550","Ungenauigkeit","-0.0048"
"551","Ungerechtigkeit","-0.3419"
"552","Ungeschicklichkeit","-0.3116"
"553","Unglaubwürdigkeit","-0.0048"
"554","Ungleichheit","-0.0048"
"555","Unglück","-0.5004"
"556","Unheilbarkeit","-0.0048"
"557","Unhöflichkeit","-0.0048"
"558","Unklarheit","-0.0048"
"559","Unmenschlichkeit","-0.0048"
"560","Unmoral","-0.3172"
"561","Unmut","-0.3394"
"562","Unordnung","-0.3391"
"563","Unrecht","-0.5086"
"564","Unregelmäßigkeit","-0.0048"
"565","Unrentabilität","-0.0048"
"566","Unruhe","-0.201"
"567","Unsicherheit","-0.358"
"568","Unsinn","-0.4969"
"569","Unstetigkeit","-0.3075"
"570","Unstimmigkeit","-0.0048"
"571","Unterbrechung","-0.0048"
"572","Unterdrückung","-0.0048"
"573","Untergang","-0.3498"
"574","Unterlassung","-0.0048"
